Ano CalendArio;Fonte Declarante;Base Legal;Tipo;Pessoa FIsica Qtd PF;Pessoa FIsica Qtd ContribuiCOes;Pessoa FIsica Total ContribuiCOes (R$);Pessoa FIsica Total DedutIvel (R$);Pessoa JurIdica Qtd PF;Pessoa JurIdica Qtd ContribuiCOes;Pessoa JurIdica Total ContribuiCOes (R$);Pessoa JurIdica Total DedutIvel (R$)
2016;Ancine;3 - Artigo 18, Lei 8313/1991;0 - DoaCAo/PatrocInio;0;0;0;0;2;3;1351000;1351000
2016;Ancine;4 - Artigo 25 e 26, Lei 8313/1991;2 - PatrocInio;0;0;0;0;1;1;200000;60000
2016;Min.Esporte;5 - Artigo 1º, Lei 11.438/2006;0 - DoaCAo/PatrocInio;0;0;0;0;357;4164;260075024,9;260075024,9
2016;Min.SaUde;8 - Arts. 1º e 4º, Lei 12.715/2012;1 - DoaCAo;0;0;0;0;20;677;66419305,87;66419305,87
2016;Min.SaUde;9 - Arts. 3º e 4º, Lei 12.715/2012;1 - DoaCAo;0;0;0;0;27;410;33580402,37;33580402,37
2016;MinC;3 - Artigo 18, Lei 8313/1991;0 - DoaCAo/PatrocInio;285;875;25057492,15;25057492,15;1748;18487;1072542797;1072542797
2016;MinC;4 - Artigo 25 e 26, Lei 8313/1991;1 - DoaCAo;6;9;106790;42716;28;48;8393306;3433259,4
2016;MinC;4 - Artigo 25 e 26, Lei 8313/1991;2 - PatrocInio;19;41;2082047,04;635629,67;66;119;36691266,63;11017112,39
2016;Org. Resp. Fundo;6 - Inciso I, Art.12, Lei 9.250/1995 e Art 260, Lei 8.069/1991;1 - DoaCAo;0;0;0;0;878;76199;275375863,7;275375863,7
2016;Org. Resp. Fundo;7 - Arts. 2º e 3º, Lei 12.213/2010;1 - DoaCAo;0;0;0;0;197;3084;183324535,5;183324535,5
2015;Ancine;1 - Artigo 1º, Lei 8685/1993;3 - Investimento;0;0;0;0;25;73;10179664;10179664
2015;Ancine;2 - Artigo 1ºA, Lei 8685/1993;2 - PatrocInio;0;0;0;0;147;337;69922458,57;69922458,57
2015;Ancine;3 - Artigo 18, Lei 8313/1991;0 - DoaCAo/PatrocInio;0;0;0;0;2;3;1351000;1351000
2015;Ancine;4 - Artigo 25 e 26, Lei 8313/1991;2 - PatrocInio;0;0;0;0;1;1;200000;60000
2015;Min.Esporte;5 - Artigo 1º, Lei 11.438/2006;0 - DoaCAo/PatrocInio;0;0;0;0;357;4164;260075024,9;260075024,9
2015;Min.SaUde;8 - Arts. 1º e 4º, Lei 12.715/2012;1 - DoaCAo;0;0;0;0;20;677;66419305,87;66419305,87
2015;Min.SaUde;9 - Arts. 3º e 4º, Lei 12.715/2012;1 - DoaCAo;0;0;0;0;27;410;33580402,37;33580402,37
2015;MinC;3 - Artigo 18, Lei 8313/1991;0 - DoaCAo/PatrocInio;285;875;25057492,15;25057492,15;1748;18487;1072542797;1072542797
2015;MinC;4 - Artigo 25 e 26, Lei 8313/1991;1 - DoaCAo;6;9;106790;42716;28;48;8393306;3433259,4
2015;MinC;4 - Artigo 25 e 26, Lei 8313/1991;2 - PatrocInio;19;41;2082047,04;635629,67;66;119;36691266,63;11017112,39
2015;Org. Resp. Fundo;6 - Inciso I, Art.12, Lei 9.250/1995 e Art 260, Lei 8.069/1991;1 - DoaCAo;0;0;0;0;878;76199;275375863,7;275375863,7
2015;Org. Resp. Fundo;7 - Arts. 2º e 3º, Lei 12.213/2010;1 - DoaCAo;0;0;0;0;197;3084;183324535,5;183324535,5
2014;Ancine;1 - Artigo 1º, Lei 8685/1993;3 - Investimento;0;0;0;0;47;110;18639916;18639916
2014;Ancine;2 - Artigo 1ºA, Lei 8685/1993;2 - PatrocInio;0;0;0;0;188;473;84243218,38;84243218,38
2014;Ancine;3 - Artigo 18, Lei 8313/1991;0 - DoaCAo/PatrocInio;0;0;0;0;2;3;1210000;1210000
2014;Ancine;4 - Artigo 25 e 26, Lei 8313/1991;2 - PatrocInio;0;0;0;0;2;2;428176,29;128452,88
2014;Min.Esporte;5 - Artigo 1º, Lei 11.438/2006;0 - DoaCAo/PatrocInio;0;0;0;0;363;4624;254329712,6;254329712,6
2014;Min.SaUde;8 - Arts. 1º e 4º, Lei 12.715/2012;1 - DoaCAo;0;0;0;0;41;1233;157469394,2;157469394,2
2014;Min.SaUde;9 - Arts. 3º e 4º, Lei 12.715/2012;1 - DoaCAo;0;0;0;0;45;760;103446575;103446575
2014;MinC;3 - Artigo 18, Lei 8313/1991;0 - DoaCAo/PatrocInio;408;1224;40272777,78;40272777,78;1892;16562;1191957828;1191957828
2014;MinC;4 - Artigo 25 e 26, Lei 8313/1991;1 - DoaCAo;11;17;303860,79;125182,31;24;58;17115736,55;6974936,08
2014;MinC;4 - Artigo 25 e 26, Lei 8313/1991;2 - PatrocInio;30;42;2342477,8;703223,33;136;227;82749011,46;24883245,92
2014;Org. Resp. Fundo;6 - Inciso I, Art.12, Lei 9.250/1995 e Art 260, Lei 8.069/1991;1 - DoaCAo;0;0;0;0;912;86598;267199388,6;267199388,6
2014;Org. Resp. Fundo;7 - Arts. 2º e 3º, Lei 12.213/2010;1 - DoaCAo;0;0;0;0;152;1856;129408679,4;129408679,4
2013;Ancine;1 - Artigo 1º, Lei 8685/1993;3 - Investimento;0;0;0;0;48;140;28522197;28522197
